Timestamp,Gold_price,Exchange_mid_rate,Xau_Price
19/8/2019,21950,30.8637,1495.3
20/8/2019,21950,30.829,1507.1
21/8/2019,21850,30.7914,1502.3
22/8/2019,21850,30.7863,1498.8
23/8/2019,21800,30.7786,1526.85
24/8/2019,22050,30.7786,1526.85
25/8/2019,22300,30.7786,1526.85
26/8/2019,22150,30.6379,1526.35
27/8/2019,22150,30.5842,1542.64
28/8/2019,22300,30.6463,1539.1
29/8/2019,22300,30.6324,1527.7
30/8/2019,22100,30.6443,1520.25
31/8/2019,22100,30.6443,1520.25
2/9/2019,22100,30.627,1530.59
3/9/2019,22200,30.654,1547
4/9/2019,22300,30.602,1552.6
5/9/2019,22350,30.5621,1519.35
6/9/2019,21900,30.6563,1506.95
7/9/2019,21950,30.6563,1506.95
9/9/2019,21900,30.6554,1498.95
10/9/2019,21700,30.6522,1486.4
11/9/2019,21650,30.6214,1497.6
12/9/2019,21700,30.5097,1498.95
13/9/2019,21700,30.4369,1488.7
14/9/2019,21550,30.4369,1488.7
16/9/2019,21700,30.5094,1498.8
17/9/2019,21700,30.5617,1503.1
18/9/2019,21700,30.5333,1493.9
19/9/2019,21650,30.5708,1499.2
20/9/2019,21700,30.5012,1517.15
21/9/2019,21850,30.5012,1517.15
23/9/2019,21900,30.4792,1522.12
24/9/2019,22000,30.508,1532.3
25/9/2019,22150,30.5714,1504.15
26/9/2019,21900,30.6053,1505.8
27/9/2019,21750,30.6377,1496.94
28/9/2019,21750,30.6377,1496.94
30/9/2019,21600,30.5919,1472.25
1/10/2019,21350,30.6045,1478.98
2/10/2019,21550,30.6354,1499.51
3/10/2019,21750,30.6103,1505
4/10/2019,21750,30.4941,1504.6
5/10/2019,21700,30.4941,1504.6
7/10/2019,21700,30.4436,1493.6
8/10/2019,21650,30.4716,1505.51
9/10/2019,21600,30.3534,1505.7
10/10/2019,21700,30.3064,1494.3
11/10/2019,21550,30.4241,1489.85
12/10/2019,21500,30.4241,1489.85
14/10/2019,21500,30.4241,1492.9
15/10/2019,21500,30.3935,1481.17
16/10/2019,21400,30.4073,1489.77
17/10/2019,21350,30.3634,1491.89
18/10/2019,21350,30.2942,1490.1
19/10/2019,21400,30.2942,1490.1
21/10/2019,21350,30.2763,1484.5
22/10/2019,21350,30.2786,1488.05
23/10/2019,21450,30.2786,1492.1
24/10/2019,21400,30.2807,1503.65
25/10/2019,21500,30.2344,1504.73
26/10/2019,21500,30.2344,1504.73
28/10/2019,21550,30.2115,1492.69
29/10/2019,21400,30.228,1487.6
30/10/2019,21350,30.223,1495.4
31/10/2019,21500,30.1829,1513.36
1/11/2019,21600,30.1653,1513.95
2/11/2019,21650,30.1653,1513.95
4/11/2019,21600,30.1671,1509.63
5/11/2019,21550,30.2056,1484.1
6/11/2019,21350,30.2531,1490.46
7/11/2019,21350,30.3122,1468.07
8/11/2019,21150,30.4076,1458.66
9/11/2019,21100,30.4076,1458.66
11/11/2019,21100,30.3534,1455.9
12/11/2019,20900,30.339,1457.19
13/11/2019,21000,30.3144,1463.19
14/11/2019,21000,30.226,1471.2
15/11/2019,21000,30.1981,1467.37
16/11/2019,21050,30.1981,1467.37
18/11/2019,20950,30.2489,1470.85
19/11/2019,20950,30.196,1472.38
20/11/2019,21100,30.184,1471.25
21/11/2019,21050,30.1914,1464.4
22/11/2019,21050,30.2103,1462.29
23/11/2019,20950,30.2103,1462.29
25/11/2019,20900,30.2068,1454.97
26/11/2019,20850,30.233,1461.6
27/11/2019,20900,30.2264,1454.35
28/11/2019,20900,30.2404,1458.34
29/11/2019,20900,30.2264,1464.8
30/11/2019,20950,30.2264,1464.8
2/12/2019,20900,30.2226,1462.44
3/12/2019,21000,30.2745,1477.34
4/12/2019,21200,30.284,1474.35
5/12/2019,21200,30.284,1475.7
6/12/2019,21200,30.3527,1459.76
7/12/2019,21050,30.3527,1459.76
9/12/2019,21000,30.3476,1461.99
10/12/2019,21050,30.3476,1464.21
11/12/2019,21050,30.3014,1474.85
12/12/2019,21050,30.2024,1469.43
13/12/2019,21050,30.1746,1475.81
14/12/2019,21100,30.1746,1475.81
16/12/2019,21150,30.202,1476.25
17/12/2019,21200,30.228,1476.45
18/12/2019,21150,30.2419,1475.44
19/12/2019,21150,30.2193,1479.15
20/12/2019,21150,30.1981,1478.2
21/12/2019,21150,30.1981,1478.2
23/12/2019,21200,30.1837,1485.52
24/12/2019,21300,30.173,1499.56
25/12/2019,21400,30.1582,1499.55
26/12/2019,21450,30.1595,1511.55
27/12/2019,21550,30.1651,1510.67
28/12/2019,21550,30.1651,1510.67
30/12/2019,21500,30.154,1515.22
31/12/2019,21550,30.154,1517.39
1/1/2020,21450,30.154,1517.3
2/1/2020,21700,30.1071,1528.94
3/1/2020,22050,30.151,1551.65
4/1/2020,22150,30.151,1551.65
6/1/2020,22500,30.1513,1565.96
7/1/2020,22400,30.1481,1573.99
8/1/2020,22750,30.2832,1555.81
9/1/2020,22200,30.2986,1552.37
10/1/2020,22200,30.2698,1562.28
11/1/2020,22350,30.2698,1562.28
13/1/2020,22200,30.1919,1548.3
14/1/2020,22150,30.2578,1546.37
15/1/2020,22250,30.2598,1556.19
16/1/2020,22350,30.2818,1552.79
17/1/2020,22400,30.4533,1556.61
18/1/2020,22400,30.4533,1556.61
20/1/2020,22450,30.3986,1561.58
21/1/2020,22400,30.3611,1558.02
22/1/2020,22400,30.3985,1558.91
23/1/2020,22450,30.4445,1563.33
24/1/2020,22600,30.5098,1570.65
25/1/2020,22700,30.5098,1570.65
27/1/2020,22950,30.6592,1581.95
28/1/2020,23050,30.7747,1566.24
29/1/2020,23000,30.8701,1577.12
30/1/2020,23250,31.1639,1574.22
31/1/2020,23250,31.1307,1590.2
1/2/2020,23400,31.1307,1590.2
3/2/2020,23200,31.1832,1576.45
4/2/2020,23000,31.0189,1552.55
5/2/2020,22750,31.0926,1556.7
6/2/2020,22950,31.082,1566.85
7/2/2020,23200,31.1791,1570.29
8/2/2020,23250,31.1791,1570.29
10/2/2020,23300,31.1791,1572.3
11/2/2020,23200,31.2069,1567.72
12/2/2020,23100,31.1666,1565.63
13/2/2020,23200,31.1506,1576.39
14/2/2020,23250,31.1532,1584.7
15/2/2020,23350,31.1532,1584.7
17/2/2020,23350,31.1749,1581.1
18/2/2020,23450,31.2205,1601.91
19/2/2020,23700,31.1894,1611.64
20/2/2020,23900,31.3077,1619.7
21/2/2020,24450,31.59,1643.7
22/2/2020,24500,31.59,1643.7
24/2/2020,25250,31.7275,1660.72
25/2/2020,24800,31.6443,1635.38
26/2/2020,24850,31.8486,1639.96
27/2/2020,24750,31.814,1642.35
28/2/2020,24350,31.6225,1585.12
